training_number;generation;generation_start_timestamp;generation_end_timestamp;generation_duration_seconds;fitness_best;fitness_worst;fitness_avg;fitness_median;fitness_std;distance_best;distance_worst;distance_avg;distance_median;distance_std;stability_best;stability_worst;stability_avg;stability_median;stability_std;energy_best;energy_worst;energy_avg;energy_median;energy_std;time_alive_best;time_alive_worst;time_alive_avg;time_alive_median;time_alive_std;absolute_best_fitness;absolute_best_distance;population_size;genome_length;current_time_limit;mutation_rate;crossover_rate;elite_size;usage_muscle0_contract_percent;usage_muscle0_extend_percent;usage_muscle1_contract_percent;usage_muscle1_extend_percent;usage_muscle2_contract_percent;usage_muscle2_extend_percent;usage_muscle3_contract_percent;usage_muscle3_extend_percent;usage_muscle4_contract_percent;usage_muscle4_extend_percent;usage_muscle5_contract_percent;usage_muscle5_extend_percent;usage_muscle6_contract_percent;usage_muscle6_extend_percent;usage_muscle7_contract_percent;usage_muscle7_extend_percent;usage_nothing_percent;usage_muscle0_total_percent;usage_muscle1_total_percent;usage_muscle2_total_percent;usage_muscle3_total_percent;usage_muscle4_total_percent;usage_muscle5_total_percent;usage_muscle6_total_percent;usage_muscle7_total_percent
1;0;2025-11-04 14:35:54;2025-11-04 14:35:54;0;394,0618377685547;70,82193603515626;209,6533732757568;211,32993984222412;56,97000890806695;1,4096183776855469;-1,8157806396484375;-0,4318262672424316;-0,4167006015777588;0,5703267601667633;1,0;1,0;1,0;1,0;0,0;458;482;471,64;472,0;5,465381962864078;500;500;500,0;500,0;0,0;0;0;50;500;500;0,1;0,7;5;5,86;5,83;5,71;6,01;6,04;6,08;5,93;5,94;5,86;5,97;5,9;5,8;5,76;5,93;5,78;5,94;5,67;11,69;11,72;12,12;11,87;11,83;11,7;11,69;11,72
1;1;2025-11-04 14:35:54;2025-11-04 14:35:55;1,407931;488,88703842163085;-159,4076456069946;277,8300024375916;273,3074478149414;99,5537088546637;2,0118703842163086;-2,8300764560699463;-0,06605997562408447;-0,14592552185058594;0,8704409509335082;1,0;0,0;0,98;1,0;0,13999999999999999;462;483;472,74;473,0;4,769947588810595;570;541;569,42;570,0;4,06;394,0618377685547;1,4096183776855469;50;570;570;0,1;0,7;5;6,39;5,6;5,6;5,48;6,21;5,85;5,85;6,12;6,22;5,46;5,97;5,98;5,84;6,18;6,01;5,8;5,45;11,99;11,08;12,06;11,97;11,68;11,95;12,02;11,81
1;2;2025-11-04 14:35:55;2025-11-04 14:35:57;1,814905;509,48765563964844;210,65128860473632;359,3269527435302;344,08047542572024;85,62234966180033;2,0648765563964844;-0,9244871139526367;0,5652695274353028;0,41730475425720215;0,8570603364204115;1,0;1,0;1,0;1,0;0,0;464;483;472,0;472,0;4,009987531152684;600;600;600,0;600,0;0,0;488,88703842163085;2,0118703842163086;50;600;600;0,1;0,7;5;6,96;5,22;5,53;5,36;6,26;5,82;5,77;6,36;6,46;5,27;6,12;5,74;6,22;6,11;5,84;5,36;5,6;12,18;10,89;12,08;12,13;11,73;11,86;12,33;11,2
1;3;2025-11-04 14:35:57;2025-11-04 14:35:58;1,448018;527,7345291137696;230,93236808776857;408,9631327819825;453,3674386978149;99,07777714790518;2,2363452911376953;-0,7286763191223145;1,0479313278198241;1,4921743869781494;0,9912141852252191;1,0;1,0;1,0;1,0;0,0;466;483;473,3;474,0;4,360045871318328;603;603;603,0;603,0;0,0;509,48765563964844;2,0648765563964844;50;603;603;0,1;0,7;5;7,18;5,54;6,04;5,18;5,96;5,61;6,08;6,63;5,98;5,6;5,18;6,17;6,14;6,44;5,97;4,97;5,34;12,72;11,22;11,57;12,71;11,58;11,35;12,58;10,94
1;4;2025-11-04 14:35:58;2025-11-04 14:36:00;1,437024;530,758634185791;244,07700386047364;452,0403888549805;477,3361246109009;81,16423152560945;2,22658634185791;-0,6432299613952637;1,4380638885498047;1,6938612461090088;0,8122879911774742;1,0;1,0;1,0;1,0;0,0;464;479;472,66;472,5;3,7449165544775496;611;611;611,0;611,0;0,0;527,7345291137696;2,2363452911376953;50;611;611;0,1;0,7;5;7,38;5,65;5,95;5,13;6,24;5,71;5,84;6,39;5,72;5,68;5,1;6,27;6,26;6,53;5,9;4,79;5,47;13,03;11,08;11,95;12,23;11,4;11,37;12,79;10,69
1;5;2025-11-04 14:36:00;2025-11-04 14:36:01;1,029956;530,758634185791;98,17195491790773;416,1272835273743;471,07709369659426;120,39712605574165;2,22658634185791;-2,101280450820923;1,0782528352737426;1,6272709369659424;1,203764685659095;1,0;1,0;1,0;1,0;0,0;464;481;471,98;471,5;3,5241452864489;611;611;611,0;611,0;0,0;530,758634185791;2,22658634185791;50;611;611;0,1;0,7;5;7,09;5,98;5,89;5,17;6,35;5,73;6,13;6,49;5,33;5,44;5,21;6,64;5,88;6,36;5,94;4,76;5,6;13,07;11,06;12,08;12,62;10,77;11,85;12,24;10,7
1;6;2025-11-04 14:36:01;2025-11-04 14:36:02;0,947556;542,658911895752;176,02866973876954;462,1535548477173;489,9787668228149;83,52119040686229;2,3395891189575195;-1,3237133026123047;1,538255548477173;1,8207876682281494;0,83479858849224;1,0;1,0;1,0;1,0;0,0;462;482;471,72;471,0;4,4001818144254;611;611;611,0;611,0;0,0;530,758634185791;2,22658634185791;50;611;611;0,1;0,7;5;7,03;5,66;6,24;5,2;6,24;5,36;6,61;6,08;5,14;5,47;5,44;6,34;5,7;6,5;6,17;5,19;5,66;12,69;11,44;11,6;12,69;10,61;11,78;12,2;11,36
1;7;2025-11-04 14:36:02;2025-11-04 14:36:03;0,963449;562,9160789489746;122,45650405883788;434,9042318878174;491,775604057312;120,85456356970829;2,525160789489746;-1,887434959411621;1,2399823188781738;1,8097560405731201;1,2092375261436792;1,0;1,0;1,0;1,0;0,0;464;479;470,94;470,0;3,8544000830220004;616;616;616,0;616,0;0,0;542,658911895752;2,3395891189575195;50;616;616;0,1;0,7;5;6,95;5,63;5,95;5,27;6,65;5,33;6,57;5,91;5,24;5,39;5,07;6,33;6,02;6,45;6,07;5,35;5,81;12,58;11,22;11,98;12,48;10,63;11,4;12,47;11,42
1;8;2025-11-04 14:36:03;2025-11-04 14:36:04;0,965857;570,465348815918;149,4517044067383;445,8669496765137;493,948585319519;115,0173402194719;2,5436534881591797;-1,6594829559326172;1,3004294967651366;1,7839858531951904;1,149181451047483;1,0;1,0;1,0;1,0;0,0;462;480;471,76;471,5;3,9271363612688575;626;626;626,0;626,0;0,0;562,9160789489746;2,525160789489746;50;626;626;0,1;0,7;5;6,68;5,39;5,77;5,08;6,79;5,21;6,58;6,39;5,18;5,77;4,98;6,73;6,03;6,3;6,14;5,33;5,65;12,07;10,85;12,0;12,97;10,95;11,71;12,33;11,47
1;9;2025-11-04 14:36:04;2025-11-04 14:36:05;0,972753;570,9115615844727;152,8370273590088;425,45440936279294;491,9275379180908;135,69319638149338;2,5431156158447266;-1,634629726409912;1,0910240936279296;1,7567753791809082;1,3570001070846893;1,0;1,0;1,0;1,0;0,0;463;477;471,48;472,0;3,5453631689856544;627;627;627,0;627,0;0,0;570,465348815918;2,5436534881591797;50;627;627;0,1;0,7;5;6,46;5,44;5,82;5,42;6,68;5,28;6,71;6,03;5,14;5,67;4,85;6,76;6,16;6,45;5,84;5,6;5,7;11,9;11,24;11,96;12,74;10,81;11,61;12,61;11,44
1;10;2025-11-04 14:36:05;2025-11-04 14:36:06;0,970026;580,8864601135253;171,35918006896972;446,6497602005005;499,5827075958252;124,6671137130767;2,650864601135254;-1,4474081993103027;1,303477602005005;1,836327075958252;1,2461316920495606;1,0;1,0;1,0;1,0;0,0;462;480;471,98;472,0;4,140000000000001;627;627;627,0;627,0;0,0;570,9115615844727;2,5431156158447266;50;627;627;0,1;0,7;5;6,48;5,36;5,78;5,38;6,55;5,12;6,87;5,94;5,26;5,89;4,92;6,66;6,15;6,68;5,71;5,66;5,6;11,84;11,16;11,67;12,81;11,15;11,58;12,83;11,37
1;11;2025-11-04 14:36:06;2025-11-04 14:36:07;0,99487;597,3512809753418;123,46967353820801;416,7747373123169;506,0775859832764;161,51519457281998;2,780512809753418;-1,95430326461792;0,9797273731231689;1,8652758598327637;1,6139988505820866;1,0;1,0;1,0;1,0;0,0;463;479;471,98;472,0;4,615148968343275;632;632;632,0;632,0;0,0;580,8864601135253;2,650864601135254;50;632;632;0,1;0,7;5;6,5;5,46;5,89;5,11;6,67;4,97;6,99;6,0;5,46;6,18;4,67;6,74;6,04;6,6;5,66;5,46;5,6;11,96;11,0;11,64;12,99;11,64;11,41;12,64;11,12
1;12;2025-11-04 14:36:07;2025-11-04 14:36:08;1,0099;600,9379699707031;134,11354942321776;407,56425791168215;407,1981800079346;141,12487775562667;2,786275863647461;-1,8758645057678223;0,8531025791168213;0,8464818000793457;1,4111439209696903;1,0;1,0;1,0;1,0;0,0;463;482;472,46;472,0;5,095919936576712;639;639;639,0;639,0;0,0;597,3512809753418;2,780512809753418;50;639;639;0,1;0,7;5;6,56;5,8;6,1;5,03;6,51;4,88;7,16;5,9;5,62;5,99;4,88;6,72;6,03;6,51;5,43;5,37;5,51;12,36;11,13;11,39;13,06;11,61;11,6;12,54;10,8
1;13;2025-11-04 14:36:08;2025-11-04 14:36:09;0,999821;600,9379699707031;208,03775291442872;460,8744602890015;517,9222202301025;126,49568355743715;2,786275863647461;-1,142622470855713;1,3870246028900146;1,9542222023010254;1,2642967714382551;1,0;1,0;1,0;1,0;0,0;464;489;473,28;472,5;4,996158524306449;639;639;639,0;639,0;0,0;600,9379699707031;2,7813796997070312;50;639;639;0,1;0,7;5;6,7;5,86;6,19;5,12;6,19;4,98;7,01;5,74;5,41;6,27;5,26;6,23;6,34;6,72;5,12;5,52;5,34;12,56;11,31;11,17;12,75;11,68;11,49;13,06;10,64
