training_number,total_generations,start_date,end_date,total_duration_seconds,avg_generation_duration_seconds,first_best_fitness,final_best_fitness,best_fitness_ever,best_distance_ever,avg_fitness,avg_distance,avg_stability,avg_energy,final_time_limit
1,32,2025-11-03 12:05:08,2025-11-03 12:27:50,1361.578628,42.549332125,527.742805480957,657.1311218261719,657.5986015319825,3.2410707473754883,439.9565301653147,1.2276003016531467,0.969375,466.01937499999997,661
2,100,2025-11-03 18:03:21,2025-11-03 19:14:02,4240.484311,42.40484311,391.9767242431641,727.3353080749512,730.3974876403809,3.8010177612304688,446.8461789127731,1.0877953891277314,0.9960000000000001,467.77459999999996,689
3,100,2025-11-03 19:14:32,2025-11-03 20:22:13,4060.1703359999997,40.601703359999995,386.9968505859375,741.659031677246,746.4314125061035,3.916314125061035,492.41212219703675,1.5560324219703674,0.9978,467.40619999999996,695
4,100,2025-11-03 20:22:44,2025-11-03 22:54:13,9088.938750000001,90.88938750000001,421.873966217041,745.2799018859863,754.0251182556152,3.916251182556152,483.5289338383484,1.4384895383834837,0.9886000000000001,474.0762000000001,697
5,34,2025-11-03 22:54:44,2025-11-03 23:16:26,1301.846757,38.2896105,486.8425605773926,621.9166702270508,630.844970703125,2.97344970703125,445.18261272228466,1.2647061272228466,0.9970588235294118,471.70647058823533,647
6,100,2025-11-04 11:38:04,2025-11-04 11:39:45,100.903198,1.00903198,412.49902534484863,712.1277015686035,721.325602722168,3.71125602722168,493.1977772566986,1.583395572566986,0.9944000000000002,472.41479999999996,684
7,100,2025-11-04 11:39:46,2025-11-04 11:41:28,100.92965399999999,1.0092965399999998,323.0758819580078,731.8020294189453,747.962986755371,3.858068466186523,450.1608052833176,1.2233454528331755,0.9861999999999999,473.3603999999999,691
8,100,2025-11-04 11:41:28,2025-11-04 11:43:08,98.906891,0.98906891,385.9991371154785,701.49956741333,701.49956741333,3.590238571166992,443.7096153134156,1.1742373531341552,0.983,465.88519999999994,679
9,100,2025-11-04 11:43:09,2025-11-04 11:44:50,100.56734200000001,1.0056734200000002,415.5949226379395,729.3320419311524,743.5675918579102,3.7736759185791016,466.82731355731966,1.3421513355731962,0.9928000000000001,471.1282,690
10,100,2025-11-04 11:44:51,2025-11-04 11:46:35,103.917971,1.03917971,394.8564060211182,671.1599723815918,673.2359230041504,3.401583671569824,440.22087433258065,1.1141621433258055,0.9948000000000001,467.9644,667
11,100,2025-11-04 11:46:36,2025-11-04 11:48:23,106.52558,1.0652558,492.19876556396486,681.4851676940918,681.4851676940918,3.431685447692871,477.3169336162948,1.4762629361629487,0.9972,471.1475999999999,671
12,100,2025-11-04 11:48:24,2025-11-04 11:50:08,103.486953,1.03486953,399.1277557373047,705.6460479736328,705.6460479736328,3.630171775817871,454.73810838039407,1.27256028380394,0.9942000000000002,472.46520000000004,681
