training_number;total_generations;start_date;end_date;total_duration_seconds;avg_generation_duration_seconds;first_best_fitness;final_best_fitness;best_fitness_ever;best_distance_ever;avg_fitness;avg_distance;avg_stability;avg_energy;final_time_limit
1;100;2025-11-04 14:35:54;2025-11-04 14:37:42;107,33727800000001;1,0733727800000001;394,0618377685547;694,0786918640136;705,5016761779785;3,541670799255371;471,3243782884216;1,4104071828842164;0,9873999999999999;471,39239999999995;676
2;100;2025-11-04 14:37:43;2025-11-04 14:39:38;114,85019899999999;1,14850199;694,0786918640136;735,8452186584473;745,2899780273438;3,8628997802734375;514,9956154802322;1,7204531548023225;0,9794000000000002;471,30800000000005;693
3;100;2025-11-04 14:39:39;2025-11-04 14:58:44;104,77447099999999;1,04774471;735,8452186584473;766,1526519775391;782,817244720459;4,104526519775391;572,6019600577926;2,1966940005779265;0,9944000000000002;471,3574;705
4;100;2025-11-04 14:58:45;2025-11-04 15:00:31;105,039543;1,05039543;766,1526519775391;768,803352355957;782,817244720459;4,10117244720459;582,250094476509;2,275692944765091;0,9960000000000001;468,76000000000005;706
5;100;2025-11-04 15:00:32;2025-11-04 15:02:19;106,82144199999999;1,0682144199999999;768,803352355957;823,6217971801758;823,6217971801758;4,567191123962402;601,4726652589417;2,4064810525894167;0,9920000000000002;467,08240000000006;728
6;100;2025-11-04 15:02:20;2025-11-04 15:04:09;107,980589;1,07980589;824,8110290527344;824,8321197509765;839,0783325195313;4,577110290527344;604,5996177048111;2,509406777048111;0,941;468,07359999999994;728
7;100;2025-11-04 15:04:10;2025-11-04 15:06:02;111,57963699999999;1,11579637;824,8321197509765;853,0148963928223;854,9859046936035;4,80324649810791;600,4092208398437;2,508573608398437;0,9183999999999999;468,03939999999994;740
8;100;2025-11-04 15:06:03;2025-11-04 15:07:58;114,598965;1,14598965;853,0148963928223;853,0148963928223;864,317497253418;4,80317497253418;606,7032601288223;2,5505342012882237;0,912;468,1855999999999;740
9;100;2025-11-04 15:07:59;2025-11-04 15:09:54;114,68931299999997;1,1468931299999996;853,0148963928223;854,7720153808593;882,3114822387695;4,975114822387695;604,9540041014862;2,516932841014862;0,9183999999999999;468,25379999999996;740
10;100;2025-11-04 15:09:56;2025-11-04 15:11:51;114,69014299999999;1,14690143;854,7720153808593;854,7720153808593;882,3114822387695;4,975114822387695;598,6708272305679;2,4630820723056797;0,9128000000000002;468,0298;740
11;100;2025-11-04 15:11:52;2025-11-04 15:13:51;118,478844;1,18478844;854,7720153808593;876,5494277954101;882,3114822387695;4,975114822387695;597,4024560152435;2,4382181601524353;0,9189999999999999;468,1535999999999;759
12;100;2025-11-04 15:13:52;2025-11-04 15:15:59;126,55410800000001;1,2655410800000002;860,8187187194824;870,7509246826172;882,3114822387695;4,975114822387695;600,1149802489471;2,4571196024894713;0,9186;468,01180000000005;747
13;100;2025-11-04 15:16:01;2025-11-04 15:18:08;127,411222;1,27411222;870,7509246826172;870,7509246826172;882,3114822387695;4,975114822387695;589,2907866384506;2,316930866384506;0,9218000000000001;468,228;747
14;100;2025-11-04 15:18:10;2025-11-04 15:20:15;124,317554;1,24317554;870,7509246826172;870,7509246826172;882,3114822387695;4,975114822387695;593,6364338991547;2,328496938991547;0,9356;468,9206;747
15;100;2025-11-04 15:20:16;2025-11-04 15:22:23;126,80906899999998;1,2680906899999997;870,7509246826172;870,7509246826172;888,6044471740722;5,018044471740723;602,8548647537613;2,384413247537613;0,9489999999999997;469,6955999999999;747
16;100;2025-11-04 15:22:25;2025-11-04 15:24:32;126,66854999999998;1,2666855;870,7509246826172;870,7509246826172;888,6044471740722;5,018044471740723;604,9496571970367;2,4047261719703674;0,9503999999999999;470,19259999999986;747
17;100;2025-11-04 15:24:33;2025-11-04 15:26:41;126,88392900000001;1,26883929;870,7509246826172;870,7509246826172;888,6044471740722;5,018044471740723;600,1976990847397;2,353782190847397;0,9519999999999997;470,07019999999994;747
18;100;2025-11-04 15:26:42;2025-11-04 15:28:51;128,935013;1,2893501299999999;870,7509246826172;870,7509246826172;888,6044471740722;5,018044471740723;597,8877179238892;2,3539745792388915;0,9431999999999999;470,04740000000004;747
19;100;2025-11-04 15:28:53;2025-11-04 15:31:02;128,32504899999998;1,2832504899999997;870,7509246826172;870,7509246826172;888,6044471740722;5,018044471740723;602,0579322589111;2,3907561225891114;0,945;469,4637999999999;747
20;100;2025-11-04 15:31:03;2025-11-04 15:33:14;130,888291;1,3088829100000001;870,7509246826172;870,7509246826172;888,6044471740722;5,018044471740723;605,0025228123475;2,419730428123474;0,9444000000000001;468,8742;747
21;100;2025-11-04 15:33:16;2025-11-04 15:35:26;129,295864;1,29295864;870,7509246826172;870,7509246826172;888,6044471740722;5,018044471740723;609,0662578074265;2,4641807780742644;0,9418000000000001;468,75819999999993;747
22;100;2025-11-04 15:35:27;2025-11-04 15:37:38;130,67074700000003;1,3067074700000003;870,7509246826172;870,7509246826172;888,6044471740722;5,018044471740723;605,0310074542235;2,4244018745422364;0,9428000000000002;468,67080000000004;747
23;100;2025-11-04 15:37:40;2025-11-04 15:39:51;130,479785;1,30479785;870,7509246826172;870,7509246826172;888,6044471740722;5,018044471740723;602,855782253418;2,3964312225341793;0,9456;467,91640000000007;747
24;100;2025-11-04 15:39:52;2025-11-04 15:42:04;131,478584;1,31478584;870,7509246826172;870,7509246826172;888,6044471740722;5,018044471740723;605,7694493778229;2,4224864937782287;0,9462;468,31100000000004;747
25;100;2025-11-04 15:42:05;2025-11-04 15:44:17;131,011927;1,31011927;870,7509246826172;870,7509246826172;890,2656410217285;5,029656410217285;605,2756716535949;2,4314633165359494;0,94;467,8686;747
26;100;2025-11-04 15:44:18;2025-11-04 15:46:29;130,172638;1,30172638;870,7509246826172;870,7509246826172;890,2656410217285;5,029656410217285;607,8675259642791;2,456460059642792;0,9404;467,8898;747
27;100;2025-11-04 15:46:30;2025-11-04 15:48:41;130,005649;1,30005649;870,7509246826172;874,2215744018555;890,2656410217285;5,029656410217285;606,8750062924956;2,4367134629249576;0,9441999999999999;468,28439999999995;752
28;100;2025-11-04 15:48:42;2025-11-04 15:50:54;130,804716;1,30804716;870,7509246826172;870,7509246826172;890,2656410217285;5,029656410217285;609,6324483337021;2,474404883337021;0,9405999999999999;467,93940000000003;747
