training_number,generation,timestamp,best_fitness,worst_fitness,avg_fitness,median_fitness,std_fitness,best_distance,avg_distance,median_distance,best_stability,avg_stability,best_energy,avg_energy,best_time_alive,avg_time_alive,absolute_best_fitness,absolute_best_distance,population_size,genome_length,mutation_rate,crossover_rate,elite_size
1,0,2025-11-02 13:52:29,255.1,252.7,253.81799999999998,253.8,0.5225667421487891,0,0.0,0.0,1.0,1.0,449,461.82,500,500.0,0,0,50,500,0.1,0.7,5
2,0,2025-11-02 14:23:21,1.7535052299499512,0,0.22476885795593263,0.0,0.39550017016109074,1.2535052299499512,-0.6070433044433594,-0.5512499809265137,1.0,1.0,463,462.06,500,500.0,0,0,50,500,0.1,0.7,5
2,1,2025-11-02 14:23:52,2.448056697845459,0,0.6406889152526856,0.41349196434020996,0.7041927700288755,1.948056697845459,-0.001844511032104492,-0.08650803565979004,1.0,1.0,467,463.92,500,500.0,1.7535052299499512,1.2535052299499512,50,500,0.1,0.7,5
2,2,2025-11-02 14:24:23,2.5615758895874023,0,1.0598101234436035,1.0279591083526611,0.8212995684176784,2.0615758895874023,0.3041815710067749,0.5279591083526611,1.0,0.98,467,460.7,500,496.02,2.448056697845459,1.948056697845459,50,500,0.1,0.7,5
2,3,2025-11-02 14:24:53,2.5615758895874023,0,1.144520959854126,1.416069507598877,0.947981448227646,2.0615758895874023,0.41198148727416994,0.916069507598877,1.0,0.98,467,461.0,500,494.28,2.5615758895874023,2.0615758895874023,50,500,0.1,0.7,5
2,4,2025-11-02 14:25:25,3.047684669494629,0,1.3285662746429443,1.4831719398498535,0.9822721752175629,2.547684669494629,0.6540172863006591,0.9831719398498535,1.0,1.0,461,467.42,500,500.0,2.5615758895874023,2.0615758895874023,50,500,0.1,0.7,5
2,5,2025-11-02 14:25:55,3.047684669494629,0,1.553171730041504,1.8892440795898438,1.0064668348850592,2.547684669494629,0.8419808912277221,1.3892440795898438,1.0,1.0,461,467.96,500,500.0,3.047684669494629,2.547684669494629,50,500,0.1,0.7,5
2,6,2025-11-02 14:26:26,3.047684669494629,0,1.442880916595459,1.803217887878418,1.0057140183175757,2.547684669494629,0.8190454339981079,1.303217887878418,1.0,1.0,461,466.26,500,500.0,3.047684669494629,2.547684669494629,50,500,0.1,0.7,5
2,7,2025-11-02 14:26:57,3.047684669494629,0,1.4405265522003174,1.7771720886230469,1.008769741734082,2.547684669494629,0.7730487394332886,1.2771720886230469,1.0,1.0,461,468.12,500,500.0,3.047684669494629,2.547684669494629,50,500,0.1,0.7,5
2,8,2025-11-02 14:27:28,3.047684669494629,0,1.6024949264526367,1.7811272144317627,0.9573178292824254,2.547684669494629,0.9764081716537476,1.2811272144317627,1.0,1.0,461,467.14,500,500.0,3.047684669494629,2.547684669494629,50,500,0.1,0.7,5
