training_number,generation,generation_start_timestamp,generation_end_timestamp,generation_duration_seconds,fitness_best,fitness_worst,fitness_avg,fitness_median,fitness_std,distance_best,distance_worst,distance_avg,distance_median,distance_std,stability_best,stability_worst,stability_avg,stability_median,stability_std,energy_best,energy_worst,energy_avg,energy_median,energy_std,time_alive_best,time_alive_worst,time_alive_avg,time_alive_median,time_alive_std,absolute_best_fitness,absolute_best_distance,population_size,genome_length,current_time_limit,mutation_rate,crossover_rate,elite_size,usage_muscle0_contract_percent,usage_muscle0_extend_percent,usage_muscle1_contract_percent,usage_muscle1_extend_percent,usage_muscle2_contract_percent,usage_muscle2_extend_percent,usage_muscle3_contract_percent,usage_muscle3_extend_percent,usage_muscle4_contract_percent,usage_muscle4_extend_percent,usage_muscle5_contract_percent,usage_muscle5_extend_percent,usage_muscle6_contract_percent,usage_muscle6_extend_percent,usage_muscle7_contract_percent,usage_muscle7_extend_percent,usage_nothing_percent,usage_muscle0_total_percent,usage_muscle1_total_percent,usage_muscle2_total_percent,usage_muscle3_total_percent,usage_muscle4_total_percent,usage_muscle5_total_percent,usage_muscle6_total_percent,usage_muscle7_total_percent
1,0,2025-11-04 13:45:55,2025-11-04 13:45:55,0,"445,1462203979492","34,16522045135497","208,63726831436156","204,4942169189453","82,48962076145052","1,9194622039794922","-2,18534779548645","-0,4437273168563843","-0,4881620407104492","0,8237866264580936","1,0","1,0","1,0","1,0","0,0",458,480,"469,9","470,0","5,139066063011838",500,500,"500,0","500,0","0,0",0,0,50,500,500,"0,1","0,7",5,"5,88","5,85","5,92","5,98","5,73","5,94","5,66","5,92","5,86","5,99","5,88","5,85","5,67","6,02","5,72","6,1","6,02","11,73","11,9","11,67","11,58","11,85","11,73","11,69","11,82"
1,1,2025-11-04 13:45:55,2025-11-04 13:45:56,"1,08934","489,5698101043701","70,74632434844972","293,6073956108093","267,81773872375487","85,48636440577212","1,8886981010437012","-2,295536756515503","-0,07102604389190674","-0,3296799659729004","0,8548291133684286","1,0","1,0","1,0","1,0","0,0",457,480,"467,9","469,0","4,754997371187496",595,595,"595,0","595,0","0,0","445,1462203979492","1,9194622039794922",50,595,595,"0,1","0,7",5,"5,92","5,37","5,64","6,27","5,89","5,96","5,69","5,62","6,05","5,85","6,38","5,69","5,21","6,09","5,67","6,29","6,42","11,29","11,91","11,85","11,31","11,9","12,07","11,3","11,96"
1,2,2025-11-04 13:45:56,2025-11-04 13:45:57,"1,169335","550,1025718688965","-211,4656988143921","295,15752827072146","279,72899475097654","142,0324450398493","2,507025718688965","-2,623656988143921","0,035935282707214355","-0,20141339302062988","1,1835614193636992","1,0","0,0","0,96","1,0","0,19595917942265428",351,480,"467,66","469,0","17,24947535434049",594,372,"588,66","594,0","31,585825935061443","489,5698101043701","1,8886981010437012",50,594,594,"0,1","0,7",5,"6,34","5,14","5,94","5,71","6,18","6,22","5,54","5,27","6,22","5,93","6,59","5,63","5,37","6,67","5,29","6,0","5,99","11,48","11,65","12,4","10,81","12,15","12,22","12,04","11,29"
1,3,2025-11-04 13:45:57,2025-11-04 13:45:59,"1,526471","565,4086898803711","-250,872575378418","339,6074058914184","301,38932647705076","142,16600271416772","2,505086898803711","-2,7177257537841797","0,3011740589141846","-0,1426067352294922","1,222450118082837","1,0","0,0","0,98","1,0","0,13999999999999999",281,484,"467,4","471,0","26,965162710430658",625,298,"618,46","625,0","45,779999999999994","550,1025718688965","2,507025718688965",50,625,625,"0,1","0,7",5,"6,38","5,1","5,82","5,8","6,27","5,91","5,99","4,86","6,14","6,04","6,97","5,6","5,49","6,5","5,51","5,84","5,76","11,48","11,62","12,18","10,85","12,18","12,57","11,99","11,35"
1,4,2025-11-04 13:45:59,2025-11-04 13:46:00,"1,118626","583,3259819030761","131,45679473876953","409,4654782638549","466,1354528427124","131,60941967522513","2,6852598190307617","-1,8354320526123047","0,9407947826385498","1,500354528427124","1,3153836044251677","1,0","1,0","1,0","1,0","0,0",459,479,"471,14","471,0","3,924334338457925",625,625,"625,0","625,0","0,0","565,4086898803711","2,505086898803711",50,625,625,"0,1","0,7",5,"6,44","5,24","6,17","5,71","6,49","5,3","6,12","4,45","5,62","6,24","7,49","6,18","5,42","5,99","5,76","5,6","5,77","11,68","11,88","11,79","10,57","11,86","13,67","11,41","11,36"
1,5,2025-11-04 13:46:00,2025-11-04 13:46:01,"1,110559","586,9819801330566","98,72805080413818","432,40084094619755","478,8787130355835","127,81550023520091","2,6768198013305664","-2,208719491958618","1,1240484094619752","1,584787130355835","1,2783600185481268","1,0","1,0","1,0","1,0","0,0",463,479,"470,04","469,5","3,9494809785590816",634,634,"634,0","634,0","0,0","583,3259819030761","2,6852598190307617",50,634,634,"0,1","0,7",5,"6,52","5,36","6,2","5,76","6,63","5,35","6,05","4,2","5,91","5,67","7,68","6,12","5,64","5,91","5,72","5,31","5,99","11,88","11,96","11,98","10,25","11,58","13,8","11,55","11,03"
1,6,2025-11-04 13:46:01,2025-11-04 13:46:02,"1,12921","586,5515029907226","-176,12723903656007","354,3576744537354","385,6367582321167","176,94981054399196","2,6775150299072266","-2,6532723903656006","0,3960967445373535","0,662367582321167","1,6567573810681695","1,0","0,0","0,98","1,0","0,13999999999999999",448,479,"471,02","472,0","5,259239488747398",633,468,"629,7","633,0","23,099999999999998","586,9819801330566","2,6768198013305664",50,633,633,"0,1","0,7",5,"6,27","5,32","5,94","5,75","6,68","5,48","6,24","4,53","6,12","5,99","6,94","6,22","5,46","6,17","5,76","5,46","5,68","11,59","11,69","12,16","10,77","12,11","13,16","11,63","11,22"
1,7,2025-11-04 13:46:02,2025-11-04 13:46:03,"1,123812","586,5515029907226","73,65230312347413","377,59371715545655","443,11231994628906","150,2640174488647","2,6775150299072266","-2,462476968765259","0,5828371715545654","1,2369823455810547","1,5028214145791439","1,0","1,0","1,0","1,0","0,0",462,482,"471,9","472,0","4,644351407893248",633,633,"633,0","633,0","0,0","586,9819801330566","2,6768198013305664",50,633,633,"0,1","0,7",5,"6,38","5,39","6,22","5,84","6,55","5,41","6,23","4,53","5,96","5,86","6,6","6,5","5,9","6,03","5,56","5,42","5,62","11,77","12,06","11,96","10,76","11,82","13,1","11,93","10,98"
1,8,2025-11-04 13:46:03,2025-11-04 13:46:05,"1,108012","586,5515029907226","117,1780466079712","424,32375056838987","470,3843126296997","127,88443642733516","2,6775150299072266","-2,027219533920288","1,049477505683899","1,506343126296997","1,2787359822789728","1,0","1,0","1,0","1,0","0,0",461,480,"471,24","472,0","5,097293399442493",633,633,"633,0","633,0","0,0","586,9819801330566","2,6768198013305664",50,633,633,"0,1","0,7",5,"6,54","5,18","6,3","5,82","7,01","5,32","6,2","4,86","5,81","5,73","6,39","6,28","5,68","6,05","5,78","5,3","5,75","11,72","12,12","12,33","11,06","11,54","12,67","11,73","11,08"
1,9,2025-11-04 13:46:05,2025-11-04 13:46:06,"1,127667","586,5515029907226","78,14255123138429","415,2905569419861","467,99033203125","136,6600084519082","2,6775150299072266","-2,4065744876861572","0,9595455694198608","1,4884033203125","1,36586846414493","1,0","1,0","1,0","1,0","0,0",461,482,"471,64","472,0","4,9305577777772776",633,633,"633,0","633,0","0,0","586,9819801330566","2,6768198013305664",50,633,633,"0,1","0,7",5,"6,36","5,2","6,43","6,1","6,85","5,47","6,14","5,36","5,72","5,68","6,16","6,3","5,66","5,87","5,94","5,07","5,67","11,56","12,53","12,32","11,5","11,4","12,46","11,53","11,01"
